year_ceremony;canon_category;name;film;winner
1937;ACTOR IN A SUPPORTING ROLE;Stuart Erwin;Pigskin Parade;False
1937;ACTOR IN A SUPPORTING ROLE;Basil Rathbone;Romeo and Juliet;False
1937;ACTOR IN A SUPPORTING ROLE;Akim Tamiroff;The General Died at Dawn;False
1937;ACTRESS IN A LEADING ROLE;Irene Dunne;Theodora Goes Wild;False
1937;ACTRESS IN A LEADING ROLE;Gladys George;Valiant Is the Word for Carrie;False
1937;ACTRESS IN A LEADING ROLE;Carole Lombard;My Man Godfrey;False
1937;ACTRESS IN A LEADING ROLE;Luise Rainer;The Great Ziegfeld;True
1937;ACTRESS IN A LEADING ROLE;Norma Shearer;Romeo and Juliet;False
1937;ACTRESS IN A SUPPORTING ROLE;Beulah Bondi;The Gorgeous Hussy;False
1937;ACTRESS IN A SUPPORTING ROLE;Alice Brady;My Man Godfrey;False
1937;ACTRESS IN A SUPPORTING ROLE;Bonita Granville;These Three;False
1937;ACTRESS IN A SUPPORTING ROLE;Maria Ouspenskaya;Dodsworth;False
1937;ACTRESS IN A SUPPORTING ROLE;Gale Sondergaard;Anthony Adverse;True
1938;ACTOR IN A LEADING ROLE;Charles Boyer;Conquest;False
1938;ACTOR IN A LEADING ROLE;Fredric March;A Star Is Born;False
1938;ACTOR IN A LEADING ROLE;Robert Montgomery;Night Must Fall;False
1938;ACTOR IN A LEADING ROLE;Paul Muni;The Life of Emile Zola;False
1938;ACTOR IN A LEADING ROLE;Spencer Tracy;Captains Courageous;True
1938;ACTOR IN A SUPPORTING ROLE;Ralph Bellamy;The Awful Truth;False
1938;ACTOR IN A SUPPORTING ROLE;Thomas Mitchell;The Hurricane;False
1938;ACTOR IN A SUPPORTING ROLE;Joseph Schildkraut;The Life of Emile Zola;True
1938;ACTOR IN A SUPPORTING ROLE;H. B. Warner;Lost Horizon;False
1938;ACTOR IN A SUPPORTING ROLE;Roland Young;Topper;False
1938;ACTRESS IN A LEADING ROLE;Irene Dunne;The Awful Truth;False
1938;ACTRESS IN A LEADING ROLE;Greta Garbo;Camille;False
1938;ACTRESS IN A LEADING ROLE;Janet Gaynor;A Star Is Born;False
1938;ACTRESS IN A LEADING ROLE;Luise Rainer;The Good Earth;True
1938;ACTRESS IN A LEADING ROLE;Barbara Stanwyck;Stella Dallas;False
1938;ACTRESS IN A SUPPORTING ROLE;Alice Brady;In Old Chicago;True
1938;ACTRESS IN A SUPPORTING ROLE;Andrea Leeds;Stage Door;False
1938;ACTRESS IN A SUPPORTING ROLE;Anne Shirley;Stella Dallas;False
1938;ACTRESS IN A SUPPORTING ROLE;Claire Trevor;Dead End;False
1938;ACTRESS IN A SUPPORTING ROLE;Dame May Whitty;Night Must Fall;False
1939;ACTOR IN A LEADING ROLE;Charles Boyer;Algiers;False
1939;ACTOR IN A LEADING ROLE;James Cagney;Angels with Dirty Faces;False
1939;ACTOR IN A LEADING ROLE;Robert Donat;The Citadel;False
1939;ACTOR IN A LEADING ROLE;Leslie Howard;Pygmalion;False
1939;ACTOR IN A LEADING ROLE;Spencer Tracy;Boys Town;True
1939;ACTOR IN A SUPPORTING ROLE;Walter Brennan;Kentucky;True
1939;ACTOR IN A SUPPORTING ROLE;John Garfield;Four Daughters;False
1939;ACTOR IN A SUPPORTING ROLE;Gene Lockhart;Algiers;False
1939;ACTOR IN A SUPPORTING ROLE;Robert Morley;Marie Antoinette;False
1939;ACTOR IN A SUPPORTING ROLE;Basil Rathbone;If I Were King;False
1939;ACTRESS IN A LEADING ROLE;Fay Bainter;White Banners;False
1939;ACTRESS IN A LEADING ROLE;Bette Davis;Jezebel;True
1939;ACTRESS IN A LEADING ROLE;Wendy Hiller;Pygmalion;False
1939;ACTRESS IN A LEADING ROLE;Norma Shearer;Marie Antoinette;False
1939;ACTRESS IN A LEADING ROLE;Margaret Sullavan;Three Comrades;False
1939;ACTRESS IN A SUPPORTING ROLE;Fay Bainter;Jezebel;True
1939;ACTRESS IN A SUPPORTING ROLE;Beulah Bondi;Of Human Hearts;False
1939;ACTRESS IN A SUPPORTING ROLE;Billie Burke;Merrily We Live;False
